SubDistrictId,SubDistrictNameTH,SubDistrictNameEN,SubDistrictCamelCase,ZipCode,DistrictId,DistrictNameTH,DistrictNameEN,DistrictNameCamelCase,ProvinceId,ProvinceNameTH,ProvinceNameEN,ProvinceCamelCase
810106,เขาทอง,Khao Thong,KhaoThong,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
810106,เขาทอง,Khao Thong,KhaoThong,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
860801,ปากตะโก,Pak Tako,PakTako,86220,8608,ทุ่งตะโก,Thung Tako,ThungTako,86,ชุมพร,Chumphon,Chumphon
850305,บางหิน,Bang Hin,BangHin,85120,8503,กะเปอร์,Papoe,Papoe,85,ระนอง,Ranong,Ranong
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
860116,หาดทรายรี,Hat Sai Ri,HatSaiRi,86120,8601,เมืองชุมพร,Mueang Chumphon,MueangChumphon,86,ชุมพร,Chumphon,Chumphon
200905,แสมสาร,Samae San,SamaeSan,20180,2009,สัตหีบ,Sattahip,Sattahip,20,ชลบุรี,Chon Buri,ChonBuri
860116,หาดทรายรี,Hat Sai Ri,HatSaiRi,86120,8601,เมืองชุมพร,Mueang Chumphon,MueangChumphon,86,ชุมพร,Chumphon,Chumphon
860706,ด่านสวี,Dan Sawi,DanSawi,86130,8607,สวี,Sawi,Sawi,86,ชุมพร,Chumphon,Chumphon
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
830107,ราไวย์,Rawai,Rawai,83100,8301,เมืองภูเก็ต,Mueang Phuket,MueangPhuket,83,ภูเก็ต,Phuket,Phuket
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
810106,เขาทอง,Khao Thong,KhaoThong,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
210305,กร่ำ,Kram,Kram,21190,2103,แกลง,Klaeng,Klaeng,21,ระยอง,Rayong,Rayong
830107,ราไวย์,Rawai,Rawai,83100,8301,เมืองภูเก็ต,Mueang Phuket,MueangPhuket,83,ภูเก็ต,Phuket,Phuket
810302,เกาะลันตาน้อย,Ko Lanta Noi,KoLantaNoi,81150,8103,เกาะลันตา,Ko Lanta,KoLanta,81,กระบี่,Krabi,Krabi
840301,ดอนสัก,Don Sak,DonSak,84220,8403,ดอนสัก,Don Sak,DonSak,84,สุราษฎร์ธานี,Surat Thani,SuratThani
200901,สัตหีบ,Sattahip,Sattahip,20180,2009,สัตหีบ,Sattahip,Sattahip,20,ชลบุรี,Chon Buri,ChonBuri
810505,อ่าวลึกน้อย,Ao Luek Noi,AoLuekNoi,81110,8105,อ่าวลึก,Ao Luek,AoLuek,81,กระบี่,Krabi,Krabi
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
820603,เกาะพระทอง,Ko Phra Thong,KoPhraThong,82150,8206,คุระบุรี,Khura Buri,KhuraBuri,82,พังงา,Phang-nga,PhangNga
860116,หาดทรายรี,Hat Sai Ri,HatSaiRi,86120,8601,เมืองชุมพร,Mueang Chumphon,MueangChumphon,86,ชุมพร,Chumphon,Chumphon
850502,กำพวน,Kamphuan,Kamphuan,,8505,สุขสำราญ,Suk Samran,SukSamran,85,ระนอง,Ranong,Ranong
200408,นาเกลือ,Na Kluea,NaKluea,20150,2004,บางละมุง,Bang Lamung,BangLamung,20,ชลบุรี,Chon Buri,ChonBuri
200901,สัตหีบ,Sattahip,Sattahip,20180,2009,สัตหีบ,Sattahip,Sattahip,20,ชลบุรี,Chon Buri,ChonBuri
200901,สัตหีบ,Sattahip,Sattahip,20180,2009,สัตหีบ,Sattahip,Sattahip,20,ชลบุรี,Chon Buri,ChonBuri
810116,อ่าวนาง,Ao Nang,AoNang,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
840501,เกาะพะงัน,Ko Pha-Ngan,KoPhaNgan,84280,8405,เกาะพะงัน,Ko Pha-ngan,KoPhaNgan,84,สุราษฎร์ธานี,Surat Thani,SuratThani
230601,เกาะหมาก,Ko Mak,KoMak,,2306,เกาะกูด,Ko Kut,KoKut,23,ตราด,Trat,Trat
220205,บางชัน,Bang Chan,BangChan,22110,2202,ขลุง,Khlung,Khlung,22,จันทบุรี,Chanthaburi,Chanthaburi
810106,เขาทอง,Khao Thong,KhaoThong,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
920213,เกาะลิบง,Ko Libong,KoLibong,92110,9202,กันตัง,Kantang,Kantang,92,ตรัง,Trang,Trang
860106,นาชะอัง,Na Cha-Ang,NaChaAng,86000,8601,เมืองชุมพร,Mueang Chumphon,MueangChumphon,86,ชุมพร,Chumphon,Chumphon
810302,เกาะลันตาน้อย,Ko Lanta Noi,KoLantaNoi,81150,8103,เกาะลันตา,Ko Lanta,KoLanta,81,กระบี่,Krabi,Krabi
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
810106,เขาทอง,Khao Thong,KhaoThong,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
810106,เขาทอง,Khao Thong,KhaoThong,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
220602,เกาะเปริด,Ko Proet,KoProet,22130,2206,แหลมสิงห์,Laem Sing,LaemSing,22,จันทบุรี,Chanthaburi,Chanthaburi
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
860116,หาดทรายรี,Hat Sai Ri,HatSaiRi,86120,8601,เมืองชุมพร,Mueang Chumphon,MueangChumphon,86,ชุมพร,Chumphon,Chumphon
